Flow ID, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags,Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,RST Flag Count,URG Flag Count,Down/Up Ratio, Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Inbound, Label
172.16.0.5-192.168.50.1-42093-80-6,42093,80,6,4,4,0,0,0,0,0,0,0,0,0,0,0,1000000,1.333333333,0.577350269,2,1,4,1.333333333,0.577350269,2,1,0,0,0,0,0,0,128,0,1000000,0,0,0,0,0,0,0,1,0,0,0,0,128,4,0,0,0,64,-1,0,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-8639-52675-17,8639,52675,17,5,2,0,2944,0,1472,1472,1472,0,0,0,0,5.89E+08,400000,5,0,5,5,5,5,0,5,5,0,0,0,0,0,0,64,0,400000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-63391-61597-17,63391,61597,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-61597-63391-17,63391,61597,17,2,2,0,1040,0,520,520,520,0,0,0,0,5.20E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,64,0,1000000,0,520,520,520,0,0,0,0,0,780,520,0,64,2,1040,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,0,1
172.16.0.5-192.168.50.1-22110-62517-17,22110,62517,17,4,2,0,2944,0,1472,1472,1472,0,0,0,0,7.36E+08,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,64,0,500000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-29723-20132-17,29723,20132,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-22111-59300-17,22111,59300,17,4,2,0,2944,0,1472,1472,1472,0,0,0,0,7.36E+08,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,64,0,500000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-19985-17,634,19985,17,47061,200,0,88000,0,440,440,440,0,0,0,0,1869913.516,4249.803447,236.4874372,542.0046764,4787,1,47061,236.4874372,542.0046764,4787,1,0,0,0,0,0,0,6400,0,4249.803447,0,440,440,440,0,0,0,0,0,442.2,440,0,6400,200,88000,0,0,-1,-1,199,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-54429-17,530,54429,17,1,2,0,2944,0,1472,1472,1472,0,0,0,0,2.94E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,64,0,2000000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-48456-17,530,48456,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-25993-17,530,25993,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-15336-17,530,15336,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-59459-17,530,59459,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,40,0,1000000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,40,2,2944,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-47548-17,530,47548,17,3,2,0,330,0,165,165,165,0,0,0,0,1.10E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,40,0,666666.6667,0,165,165,165,0,0,0,0,0,247.5,165,0,40,2,330,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-4187-17,530,4187,17,3,2,0,440,0,220,220,220,0,0,0,0,1.47E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,40,0,666666.6667,0,220,220,220,0,0,0,0,0,330,220,0,40,2,440,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-7822-17,530,7822,17,2,2,0,550,0,275,275,275,0,0,0,0,2.75E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,40,0,1000000,0,275,275,275,0,0,0,0,0,412.5,275,0,40,2,550,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-32835-17,530,32835,17,3,2,0,572,0,286,286,286,0,0,0,0,1.91E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,40,0,666666.6667,0,286,286,286,0,0,0,0,0,429,286,0,40,2,572,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-60195-17,634,60195,17,159604,90,0,39600,0,440,440,440,0,0,0,0,248114.0824,563.8956417,1793.303371,15040.44393,142072,1,159604,1793.303371,15040.44393,142072,1,0,0,0,0,0,0,1800,0,563.8956417,0,440,440,440,0,0,0,0,0,444.8888889,440,0,1800,90,39600,0,0,-1,-1,89,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-60195-634-17,634,60195,17,3,2,0,880,0,440,440,440,0,0,0,0,2.93E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,40,0,666666.6667,0,440,440,440,0,0,0,0,0,660,440,0,40,2,880,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,0,1
172.16.0.5-192.168.50.1-634-20543-17,634,20543,17,50646,200,0,88000,0,440,440,440,0,0,0,0,1737550.843,3948.979189,254.5025126,666.784216,8001,0,50646,254.5025126,666.784216,8001,0,0,0,0,0,0,0,4000,0,3948.979189,0,440,440,440,0,0,0,0,0,442.2,440,0,4000,200,88000,0,0,-1,-1,199,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-58529-17,634,58529,17,103213,200,0,88000,0,440,440,440,0,0,0,0,852605.7764,1937.740401,518.6582915,1041.218669,6101,1,103213,518.6582915,1041.218669,6101,1,0,0,0,0,0,0,24160,0,1937.740401,0,440,440,440,0,0,0,0,0,442.2,440,0,24160,200,88000,0,0,-1,-1,199,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-57819-17,634,57819,17,29173,90,0,39600,0,440,440,440,0,0,0,0,1357419.532,3085.04439,327.7865169,539.1027789,3286,1,29173,327.7865169,539.1027789,3286,1,0,0,0,0,0,0,39600,0,3085.04439,0,440,440,440,0,0,0,0,0,444.8888889,440,0,39600,90,39600,0,0,-1,-1,89,440,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-11693-17,634,11693,17,39009,200,0,88000,0,440,440,440,0,0,0,0,2255889.666,5127.021969,196.0251256,427.045481,3855,1,39009,196.0251256,427.045481,3855,1,0,0,0,0,0,0,63640,0,5127.021969,0,440,440,440,0,0,0,0,0,442.2,440,0,63640,200,88000,0,0,-1,-1,199,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-30903-17,634,30903,17,24401,90,0,39600,0,440,440,440,0,0,0,0,1622884.308,3688.373427,274.1685393,508.6944572,3723,0,24401,274.1685393,508.6944572,3723,0,0,0,0,0,0,0,16080,0,3688.373427,0,440,440,440,0,0,0,0,0,444.8888889,440,0,16080,90,39600,0,0,-1,-1,89,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-28152-17,634,28152,17,55086,200,0,88000,0,440,440,440,0,0,0,0,1597502.088,3630.686563,276.8140704,762.090745,5640,0,55086,276.8140704,762.090745,5640,0,0,0,0,0,0,0,4000,0,3630.686563,0,440,440,440,0,0,0,0,0,442.2,440,0,4000,200,88000,0,0,-1,-1,199,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-38621-17,634,38621,17,26228,90,0,39600,0,440,440,440,0,0,0,0,1509836.816,3431.447308,294.6966292,473.8290448,3025,1,26228,294.6966292,473.8290448,3025,1,0,0,0,0,0,0,1800,0,3431.447308,0,440,440,440,0,0,0,0,0,444.8888889,440,0,1800,90,39600,0,0,-1,-1,89,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-8131-17,530,8131,17,2,2,0,1818,0,909,909,909,0,0,0,0,9.09E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,40,0,1000000,0,909,909,909,0,0,0,0,0,1363.5,909,0,40,2,1818,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-56448-17,530,56448,17,2,2,0,1860,0,930,930,930,0,0,0,0,9.30E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,40,0,1000000,0,930,930,930,0,0,0,0,0,1395,930,0,40,2,1860,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-52268-17,634,52268,17,85472,200,0,88000,0,440,440,440,0,0,0,0,1029576.937,2339.947585,429.5075377,3175.339603,44742,1,85472,429.5075377,3175.339603,44742,1,0,0,0,0,0,0,4000,0,2339.947585,0,440,440,440,0,0,0,0,0,442.2,440,0,4000,200,88000,0,0,-1,-1,199,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-62715-21664-17,62715,21664,17,3,2,0,2114,0,1057,1057,1057,0,0,0,0,7.05E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,40,0,666666.6667,0,1057,1057,1057,0,0,0,0,0,1585.5,1057,0,40,2,2114,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-13571-17,530,13571,17,3,2,0,2254,0,1127,1127,1127,0,0,0,0,7.51E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,40,0,666666.6667,0,1127,1127,1127,0,0,0,0,0,1690.5,1127,0,40,2,2254,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-13571-530-17,530,13571,17,2,2,0,1040,0,520,520,520,0,0,0,0,5.20E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,40,0,1000000,0,520,520,520,0,0,0,0,0,780,520,0,40,2,1040,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,0,1
172.16.0.5-192.168.50.1-530-58086-17,530,58086,17,2,2,0,2276,0,1138,1138,1138,0,0,0,0,1.14E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,40,0,1000000,0,1138,1138,1138,0,0,0,0,0,1707,1138,0,40,2,2276,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-512-24810-17,512,24810,17,8372,4,0,5856,0,1464,1464,1464,0,0,0,0,699474.4386,477.7830865,2790.666667,4828.380301,8366,3,8372,2790.666667,4828.380301,8366,3,0,0,0,0,0,0,80,0,477.7830865,0,1464,1464,1464,0,0,0,0,0,1830,1464,0,80,4,5856,0,0,-1,-1,3,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-512-41430-17,512,41430,17,1077,4,0,5856,0,1464,1464,1464,0,0,0,0,5437325.905,3714.020427,359,617.4763153,1072,2,1077,359,617.4763153,1072,2,0,0,0,0,0,0,80,0,3714.020427,0,1464,1464,1464,0,0,0,0,0,1830,1464,0,80,4,5856,0,0,-1,-1,3,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-63919-17,530,63919,17,5,2,0,2944,0,1472,1472,1472,0,0,0,0,5.89E+08,400000,5,0,5,5,5,5,0,5,5,0,0,0,0,0,0,40,0,400000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,40,2,2944,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-60873-17,530,60873,17,5,2,0,2944,0,1472,1472,1472,0,0,0,0,5.89E+08,400000,5,0,5,5,5,5,0,5,5,0,0,0,0,0,0,40,0,400000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,40,2,2944,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-35920-17,530,35920,17,5,2,0,2944,0,1472,1472,1472,0,0,0,0,5.89E+08,400000,5,0,5,5,5,5,0,5,5,0,0,0,0,0,0,64,0,400000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-530-8535-17,530,8535,17,4,2,0,2944,0,1472,1472,1472,0,0,0,0,7.36E+08,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,64,0,500000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-50313-17,634,50313,17,3,2,0,880,0,440,440,440,0,0,0,0,2.93E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,440,440,440,0,0,0,0,0,660,440,0,64,2,880,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-54351-17,634,54351,17,39736,200,0,88000,0,440,440,440,0,0,0,0,2214616.469,5033.219247,199.678392,258.8225809,2403,1,39736,199.678392,258.8225809,2403,1,0,0,0,0,0,0,6400,0,5033.219247,0,440,440,440,0,0,0,0,0,442.2,440,0,6400,200,88000,0,0,-1,-1,199,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-54351-634-17,634,54351,17,3,2,0,880,0,440,440,440,0,0,0,0,2.93E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,440,440,440,0,0,0,0,0,660,440,0,64,2,880,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,0,1
172.16.0.5-192.168.50.1-634-19797-17,634,19797,17,88392,200,0,88000,0,440,440,440,0,0,0,0,995565.2095,2262.648203,444.1809045,2753.743118,38290,1,88392,444.1809045,2753.743118,38290,1,0,0,0,0,0,0,5284,0,2262.648203,0,440,440,440,0,0,0,0,0,442.2,440,0,5284,200,88000,0,0,-1,-1,199,14,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-512-36482-17,512,36482,17,6555,4,0,5856,0,1464,1464,1464,0,0,0,0,893363.8444,610.2212052,2185,3780.200921,6550,2,6555,2185,3780.200921,6550,2,0,0,0,0,0,0,128,0,610.2212052,0,1464,1464,1464,0,0,0,0,0,1830,1464,0,128,4,5856,0,0,-1,-1,3,32,0,0,0,0,0,0,0,0,1,1
