Flow ID, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, RST Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound, Label
172.16.0.5-192.168.50.1-672-50471-17,672,50471,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-715-54785-17,715,54785,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-716-28954-17,716,28954,17,5,2,0,2944,0,1472,1472,1472,0,0,0,0,5.89E+08,400000,5,0,5,5,5,5,0,5,5,0,0,0,0,0,0,-2,0,400000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-717-15348-17,717,15348,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-718-7356-17,718,7356,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-672-54694-17,672,54694,17,1,2,0,2708,0,1354,1354,1354,0,0,0,0,2.71E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1354,1354,1354,0,0,0,0,0,0,0,2031,1354,0,-2,2,2708,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-719-64994-17,719,64994,17,1,2,0,2944,0,1472,1472,1472,0,0,0,0,2.94E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-720-45209-17,720,45209,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-721-52752-17,721,52752,17,1,2,0,2628,0,1314,1314,1314,0,0,0,0,2.63E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1314,1314,1314,0,0,0,0,0,0,0,1971,1314,0,-2,2,2628,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-722-6152-17,722,6152,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-723-36154-17,723,36154,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-724-2703-17,724,2703,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-725-50660-17,725,50660,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-672-4782-17,672,4782,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-726-16415-17,726,16415,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-727-42922-17,727,42922,17,2,2,0,2766,0,1383,1383,1383,0,0,0,0,1.38E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1383,1383,1383,0,0,0,0,0,0,0,2074.5,1383,0,-2,2,2766,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-672-5632-17,672,5632,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-728-60602-17,728,60602,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-729-55055-17,729,55055,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-730-47863-17,730,47863,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-731-64812-17,731,64812,17,1,2,0,2782,0,1391,1391,1391,0,0,0,0,2.78E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1391,1391,1391,0,0,0,0,0,0,0,2086.5,1391,0,-2,2,2782,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-672-16397-17,672,16397,17,1,2,0,2724,0,1362,1362,1362,0,0,0,0,2.72E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1362,1362,1362,0,0,0,0,0,0,0,2043,1362,0,-2,2,2724,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-732-28758-17,732,28758,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-733-56794-17,733,56794,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-734-25746-17,734,25746,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-512-12937-17,512,12937,17,1,2,0,2460,0,1230,1230,1230,0,0,0,0,2.46E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1230,1230,1230,0,0,0,0,0,0,0,1845,1230,0,-2,2,2460,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-735-62341-17,735,62341,17,1,2,0,2752,0,1376,1376,1376,0,0,0,0,2.75E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1376,1376,1376,0,0,0,0,0,0,0,2064,1376,0,-2,2,2752,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-736-57450-17,736,57450,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-737-511-17,737,511,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-738-30712-17,738,30712,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-739-9750-17,739,9750,17,1,2,0,2754,0,1377,1377,1377,0,0,0,0,2.75E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1377,1377,1377,0,0,0,0,0,0,0,2065.5,1377,0,-2,2,2754,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-740-28977-17,740,28977,17,2,2,0,2744,0,1372,1372,1372,0,0,0,0,1.37E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1372,1372,1372,0,0,0,0,0,0,0,2058,1372,0,-2,2,2744,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-741-21358-17,741,21358,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-742-55887-17,742,55887,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-743-32300-17,743,32300,17,1,2,0,2764,0,1382,1382,1382,0,0,0,0,2.76E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1382,1382,1382,0,0,0,0,0,0,0,2073,1382,0,-2,2,2764,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-744-30046-17,744,30046,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-745-32114-17,745,32114,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-672-19981-17,672,19981,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-746-19848-17,746,19848,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-747-36362-17,747,36362,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-748-408-17,748,408,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-749-56775-17,749,56775,17,2,2,0,2834,0,1417,1417,1417,0,0,0,0,1.42E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1417,1417,1417,0,0,0,0,0,0,0,2125.5,1417,0,-2,2,2834,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-750-56025-17,750,56025,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-751-48269-17,751,48269,17,1,2,0,2696,0,1348,1348,1348,0,0,0,0,2.70E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1348,1348,1348,0,0,0,0,0,0,0,2022,1348,0,-2,2,2696,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-752-20662-17,752,20662,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-753-29068-17,753,29068,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-754-44091-17,754,44091,17,2,2,0,2764,0,1382,1382,1382,0,0,0,0,1.38E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1382,1382,1382,0,0,0,0,0,0,0,2073,1382,0,-2,2,2764,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-755-23814-17,755,23814,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-756-62884-17,756,62884,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-757-41007-17,757,41007,17,3,2,0,2736,0,1368,1368,1368,0,0,0,0,9.12E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1368,1368,1368,0,0,0,0,0,0,0,2052,1368,0,-2,2,2736,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
