Flow ID, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, SYN Flag Count, RST Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound, Label
172.16.0.5-192.168.50.1-64610-80-6,64610,80,6,5329919,12,9,1694,4290,451,0,141.1666667,209.175365,1073,476.6666667,565.2572423,1122.718751,3.940022353,266495.95,1116776.368,5000988,2,328931,29902.81818,98633.0747,327292,2,5329787,666223.375,1755298.738,5001085,2,0,400,304,2.251441345,1.688581008,0,1073,272,419.3993437,175895.8095,0,0,1,0,0,0,284.952381,141.1666667,476.6666667,400,12,1694,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-65509-5060-17,65509,5060,17,3,2,0,836,0,418,418,418,0,0,0,0,278666666.7,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,418,418,418,0,0,0,0,0,0,0,0,627,418,0,64,2,836,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-5060-65509-17,65509,5060,17,3,2,0,836,0,418,418,418,0,0,0,0,278666666.7,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,418,418,418,0,0,0,0,0,0,0,0,627,418,0,64,2,836,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-17134-80-6,17134,80,6,5054597,8,7,1110,2146,555,0,138.75,256.9150777,1073,306.5714286,523.5703891,644.1660928,2.967595636,361042.6429,1336660.808,5004914,2,49683,7097.571429,18330.76709,48663,2,5054471,842411.8333,2039351.917,5005031,3,0,272,240,1.582717673,1.384877964,0,1073,203.5,387.8240151,150407.4667,0,0,1,0,0,0,217.0666667,138.75,306.5714286,272,8,1110,7,2146,65535,235,2,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-24114-80-6,24114,80,6,16269192,5,2,0,0,0,0,0,0,0,0,0,0,0.430261073,2711532,6641765.963,16268980,2,16269192,4067298,8134454.667,16268980,3,2,2,0,2,2,0,176,80,0.307329338,0.122931735,0,0,0,0,0,0,0,1,0,0,0,0,0,0,176,5,0,2,0,65535,28960,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-58796-33390-6,58796,33390,6,167450,4,2,0,0,0,0,0,0,0,0,0,0,35.83159152,33490,74803.20569,167302,2,167450,55816.66667,96672.10642,167444,3,2,2,0,2,2,0,80,40,23.88772768,11.94386384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,4,0,2,0,1024,0,0,20,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-55579-22-6,55579,22,6,376399,5,2,0,0,0,0,0,0,0,0,0,0,18.59728639,62733.16667,153607.4263,376283,1,376399,94099.75,188196.8333,376395,1,2,2,0,2,2,0,136,64,13.28377599,5.313510397,0,0,0,0,0,0,0,0,1,1,0,0,0,0,136,5,0,2,0,259,247,0,20,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-64610-80-6,80,64610,6,224,1,1,0,0,0,0,0,0,0,0,0,0,8928.571429,224,0,224,224,0,0,0,0,0,0,0,0,0,0,0,32,32,4464.285714,4464.285714,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,243,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-64610-80-6,64610,80,6,2,1,2,0,0,0,0,0,0,0,0,0,0,1500000,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,32,64,500000,1000000,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,243,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-17134-80-6,80,17134,6,195,1,1,0,0,0,0,0,0,0,0,0,0,10256.41026,195,0,195,195,0,0,0,0,0,0,0,0,0,0,0,32,32,5128.205128,5128.205128,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,235,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-17134-80-6,17134,80,6,119,1,2,0,0,0,0,0,0,0,0,0,0,25210.08403,59.5,81.31727984,117,2,0,0,0,0,0,2,2,0,2,2,0,32,64,8403.361345,16806.72269,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,235,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-24114-80-6,24114,80,6,249,1,1,0,0,0,0,0,0,0,0,0,0,8032.128514,249,0,249,249,0,0,0,0,0,0,0,0,0,0,0,32,32,4016.064257,4016.064257,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,64,227,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-24114-80-6,80,24114,6,2,1,2,0,0,0,0,0,0,0,0,0,0,1500000,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,32,64,500000,1000000,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,227,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-8792-80-6,8792,80,6,5015796,8,7,1110,2146,555,0,138.75,256.9150777,1073,306.5714286,523.5703891,649.1492078,2.990552247,358271.1429,1337403.052,5004930,1,10866,1552.285714,3741.706283,10023,2,5015651,835941.8333,2042433.133,5005033,3,0,272,240,1.594961199,1.395591049,0,1073,203.5,387.8240151,150407.4667,0,0,1,0,0,0,217.0666667,138.75,306.5714286,272,8,1110,7,2146,65535,235,2,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-56755-80-6,56755,80,6,5017015,8,7,752,2146,376,0,94,174.0541788,1073,306.5714286,523.5703891,577.6343104,2.989825623,358358.2143,1337389.026,5004966,2,12049,1721.285714,4195.767539,11226,2,5016809,836134.8333,2042354.93,5005064,2,0,272,240,1.594573666,1.395251958,0,1073,181.125,370.630971,137367.3167,0,0,1,0,0,0,193.2,94,306.5714286,272,8,752,7,2146,65535,235,2,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-41098-80-6,41098,80,6,5385611,12,9,1656,4290,442,0,138,204.537616,1073,476.6666667,565.2572423,1104.053003,3.899279023,269280.55,1117850.588,5004878,2,380733,34612.09091,114222.4668,379005,2,5385496,673187,1755370.813,5005060,2,0,400,304,2.228159442,1.671119581,0,1073,270.2727273,418.7682825,175366.8745,0,0,1,0,0,0,283.1428571,138,476.6666667,400,12,1656,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-50022-22-6,50022,22,6,4669516,25,26,1458,2834,440,0,58.32,118.8464415,976,109,266.162657,919.1530771,10.92190283,93390.32,278831.1063,1770346,1,4669516,194563.1667,434748.5064,2027123,1,4669142,186765.68,394549.3245,1770346,1,0,816,848,5.353873935,5.568028892,0,976,82.53846154,205.3086115,42151.62594,0,0,1,0,0,1,84.15686275,58.32,109,816,25,1458,26,2834,29200,235,14,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-8792-80-6,80,8792,6,210,1,1,0,0,0,0,0,0,0,0,0,0,9523.809524,210,0,210,210,0,0,0,0,0,0,0,0,0,0,0,32,32,4761.904762,4761.904762,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,235,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-8792-80-6,8792,80,6,96,1,2,0,0,0,0,0,0,0,0,0,0,31250,48,63.63961031,93,3,0,0,0,0,0,3,3,0,3,3,0,32,64,10416.66667,20833.33333,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,235,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-56755-80-6,80,56755,6,158,1,1,0,0,0,0,0,0,0,0,0,0,12658.22785,158,0,158,158,0,0,0,0,0,0,0,0,0,0,0,32,32,6329.113924,6329.113924,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,235,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-56755-80-6,56755,80,6,103,1,2,0,0,0,0,0,0,0,0,0,0,29126.21359,51.5,68.58935778,100,3,0,0,0,0,0,3,3,0,3,3,0,32,64,9708.737864,19417.47573,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,235,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-41098-80-6,80,41098,6,211,1,1,0,0,0,0,0,0,0,0,0,0,9478.672986,211,0,211,211,0,0,0,0,0,0,0,0,0,0,0,32,32,4739.336493,4739.336493,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,243,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-41098-80-6,41098,80,6,2,1,2,0,0,0,0,0,0,0,0,0,0,1500000,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,32,64,500000,1000000,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,243,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-50022-22-6,50022,22,6,541,1,1,0,0,0,0,0,0,0,0,0,0,3696.857671,541,0,541,541,0,0,0,0,0,0,0,0,0,0,0,32,32,1848.428835,1848.428835,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,259,235,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-50022-22-6,22,50022,6,214063,1,2,0,0,0,0,0,0,0,0,0,0,14.01456581,107031.5,151361.1563,214060,3,0,0,0,0,0,3,3,0,3,3,0,32,64,4.671521935,9.34304387,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,235,259,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-21122-80-6,21122,80,6,6489645,8,7,1110,2146,555,0,138.75,256.9150777,1073,306.5714286,523.5703891,501.7223592,2.311374505,463546.0714,1365596.071,5004967,2,1484678,212096.8571,560764.8968,1483792,2,6489503,1081583.833,2011654.53,5005040,3,0,272,240,1.232733069,1.078641436,0,1073,203.5,387.8240151,150407.4667,0,0,1,0,0,0,217.0666667,138.75,306.5714286,272,8,1110,7,2146,65535,235,2,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-46500-22-6,46500,22,6,8186676,27,24,1426,2834,440,0,52.81481481,114.8269725,976,118.0833333,275.4697043,520.3577129,6.229634592,163733.52,507474.0976,2192887,1,8186676,314872.1538,700206.3139,2234085,1,8059027,350392.4783,746903.5779,2247158,1,0,880,784,3.298041843,2.931592749,0,976,81.92307692,205.2787532,42139.36652,0,0,1,0,0,0,83.52941176,52.81481481,118.0833333,880,27,1426,24,2834,29200,235,14,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-24645-80-6,24645,80,6,10177402,5,2,0,0,0,0,0,0,0,0,0,0,0.68779832,1696233.667,4154770.777,10177124,3,10177402,2544350.5,5088515.668,10177124,3,3,3,0,3,3,0,176,80,0.491284514,0.196513806,0,0,0,0,0,0,0,1,0,0,0,0,0,0,176,5,0,2,0,65535,28960,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-21122-80-6,80,21122,6,130,1,1,0,0,0,0,0,0,0,0,0,0,15384.61538,130,0,130,130,0,0,0,0,0,0,0,0,0,0,0,32,32,7692.307692,7692.307692,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,235,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-21122-80-6,21122,80,6,103,1,2,0,0,0,0,0,0,0,0,0,0,29126.21359,51.5,68.58935778,100,3,0,0,0,0,0,3,3,0,3,3,0,32,64,9708.737864,19417.47573,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,235,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-51466-80-6,51466,80,6,3043074,13,8,1642,4290,437,0,126.3076923,197.790455,1073,536.25,573.2754885,1949.344643,6.900916639,152153.7,575036.2809,2552621,2,3043074,253589.5,736946.4925,2552621,2,490213,70030.42857,180769.7185,479891,3,0,432,272,4.271996015,2.628920624,0,1073,269.6363636,418.5230887,175161.5758,0,0,1,0,0,0,282.4761905,126.3076923,536.25,432,13,1642,8,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-46500-22-6,46500,22,6,849,1,3,0,0,0,0,0,0,0,0,0,0,4711.425206,283,400.8278932,742,2,0,0,0,0,0,744,372,523.2590181,742,2,0,32,96,1177.856302,3533.568905,0,0,0,0,0,0,0,0,1,1,3,0,0,0,32,1,0,3,0,259,235,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-46500-22-6,22,46500,6,123910,1,2,0,0,0,0,0,0,0,0,0,0,24.21112097,61955,87614.77283,123908,2,0,0,0,0,0,2,2,0,2,2,0,32,64,8.070373658,16.14074732,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,235,259,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-10559-80-6,10559,80,6,6951305,12,9,1690,4290,450,0,140.8333333,208.6845524,1073,476.6666667,565.2572423,860.2701219,3.021015478,347565.25,1179093.534,5004929,2,1946376,176943.2727,586284.0307,1944656,2,6951154,868894.25,1804550.496,5005060,3,0,400,304,1.726294559,1.294720919,0,1073,271.8181818,419.330718,175838.2511,0,0,1,0,0,0,284.7619048,140.8333333,476.6666667,400,12,1690,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-10560-80-6,10560,80,6,10027995,5,2,0,0,0,0,0,0,0,0,0,0,0.698045821,1671332.5,4093785.912,10027738,2,10027995,2506998.75,5013826.168,10027738,2,3,3,0,3,3,0,176,80,0.498604158,0.199441663,0,0,0,0,0,0,0,1,0,0,0,0,0,0,176,5,0,2,0,65535,28960,0,32,0,0,0,0,0,0,0,0,1,3
